event_id,timestamp,asset_type,user_id,action_type,resource_type,auth_status,failed_auth_attempts_past_10min,ip_address,geo_lat,geo_long,geo_dist_from_baseline_km,farm_lat,farm_long,device_type,device_os,soil_moisture_percent,soil_temp_c,humidity_percent,weather_consistency_score,irrigation_water_volume_liters,sensor_reading_variance,config_change_flag,sensor_signal_strength,anomaly_score,reason
EVT_00001,2026-01-03 04:12,gateway,FARMER_084,transmit,sensor_data,success,1,70.63.188.112,11.12837,85.57952,5.08,11.10404,85.54006,laptop,linux,57.02,28.27,28.92,80.49,140.29,12.83,0,75.07,40.96,Normal agricultural operation
EVT_00002,2026-01-28 10:02,gateway,FARMER_024,transmit,sensor_data,success,1,83.52.40.84,20.68446,74.51081,2.34,20.7049,74.51622,PC,linux,36.78,34.88,77.07,58.68,1641.49,26.74,0,64.35,33.34,Normal agricultural operation
EVT_00003,2026-01-20 19:04,weather_station,FARMER_082,read,sensor_data,success,0,20.207.186.132,21.24052,96.83154,6.25,21.19524,96.86726,PC,linux,46.73,30.73,65.55,66.84,676.5,23.69,0,56.95,42.77,Normal agricultural operation
EVT_00004,2026-02-13 04:22,weather_station,FARMER_048,read,sensor_data,success,1,196.39.70.136,36.68598,87.86877,1.75,36.69618,87.85381,phone,android,29.98,35.7,64.56,49.21,1139.97,27.76,0,94.63,53.28,Normal agricultural operation
EVT_00005,2026-02-02 00:59,irrigation_controller,FARMER_028,update,irrigation_config,success,1,178.251.102.32,15.27967,92.97432,3.96,15.24439,92.97912,PC,linux,65.71,29.72,100.0,71.68,795.49,1.32,0,63.4,32.19,Normal agricultural operation
EVT_00006,2026-01-14 15:37,gateway,FARMER_021,transmit,sensor_data,success,0,204.185.114.32,36.12178,89.66496,4.02,36.09257,89.69129,laptop,windows,38.67,22.47,77.99,40.87,1677.39,29.24,0,100.0,32.19,Normal agricultural operation
EVT_00007,2026-01-03 23:48,weather_station,FARMER_051,read,sensor_data,success,1,135.210.209.211,9.62032,92.71058,4.62,9.65779,92.72888,phone,ios,26.67,32.31,82.51,98.99,479.21,10.78,0,76.94,53.95,Normal agricultural operation
EVT_00008,2026-01-23 21:15,gateway,FARMER_008,transmit,sensor_data,success,0,133.78.155.43,22.49927,93.26597,2.92,22.517,93.24504,laptop,linux,35.21,33.88,53.61,68.29,682.92,21.0,0,85.62,44.21,Normal agricultural operation
EVT_00009,2026-01-25 06:42,gateway,FARMER_065,login,auth_session,success,0,149.78.87.169,32.61159,89.16858,3.85,32.57734,89.16222,phone,android,59.87,33.63,43.72,70.58,1371.77,4.68,0,63.93,29.37,Normal agricultural operation
EVT_00010,2026-01-29 13:01,irrigation_controller,FARMER_038,config_change,irrigation_config,success,1,124.125.207.77,8.72684,83.75929,6.78,8.76954,83.8033,laptop,linux,30.3,23.95,64.0,70.5,950.45,11.79,0,50.47,41.51,Normal agricultural operation
EVT_00011,2026-02-09 04:11,weather_station,FARMER_052,read,sensor_data,success,0,195.189.54.82,10.12121,95.04127,2.57,10.12456,95.06452,phone,android,50.83,34.26,47.52,92.88,1314.15,35.02,0,83.66,29.44,Normal agricultural operation
EVT_00012,2026-01-27 06:59,gateway,FARMER_041,config_change,device_config,success,0,196.81.255.132,26.47617,83.97958,1.91,26.47629,83.99873,phone,android,51.76,40.05,56.99,89.53,1205.99,13.06,0,80.11,29.41,Normal agricultural operation
EVT_00013,2026-01-23 12:33,irrigation_controller,FARMER_113,config_change,irrigation_config,success,1,74.4.55.111,32.96768,87.42311,4.75,32.92943,87.40036,laptop,linux,46.04,30.82,49.83,74.97,1145.72,24.59,0,56.76,37.9,Normal agricultural operation
EVT_00014,2026-02-07 13:27,irrigation_controller,FARMER_088,config_change,irrigation_config,success,0,33.49.201.96,20.24151,82.64186,1.54,20.23573,82.6553,phone,android,47.04,22.71,53.88,83.82,1345.83,10.91,0,47.87,12.04,Normal agricultural operation
EVT_00015,2026-01-24 15:14,irrigation_controller,FARMER_020,update,irrigation_config,success,0,84.163.83.101,31.39269,72.48883,3.27,31.36876,72.50891,laptop,linux,39.19,22.66,68.77,67.71,463.0,0.0,0,51.3,14.3,Normal agricultural operation
EVT_00016,2026-02-03 00:14,gateway,FARMER_089,transmit,sensor_data,success,0,153.242.135.248,32.471,68.95853,4.08,32.44271,68.93091,PC,windows,30.35,27.87,43.47,89.44,2103.57,0.99,0,55.03,28.25,Normal agricultural operation
EVT_00017,2026-01-07 17:24,gateway,FARMER_088,transmit,sensor_data,success,0,9.56.97.5,20.2171,82.62044,4.19,20.23573,82.6553,PC,windows,23.01,38.3,89.74,66.38,1279.28,11.43,0,83.05,22.85,Normal agricultural operation
EVT_00018,2026-01-15 19:02,gateway,FARMER_062,config_change,device_config,success,1,81.88.235.234,21.16262,75.65587,1.9,21.15799,75.63828,PC,linux,48.76,25.47,56.75,80.39,2130.5,19.22,0,100.0,38.77,Normal agricultural operation
EVT_00019,2026-01-14 13:04,gateway,FARMER_037,transmit,sensor_data,success,0,177.250.162.123,35.7041,70.29185,1124.01,22.517,93.24504,PC,linux,38.01,41.42,32.27,72.02,13279.52,20.66,1,77.3,68.07,Unusual geographic access; Abnormal irrigation behavior; Unauthorized configuration change
EVT_00020,2026-01-26 13:52,gateway,FARMER_035,config_change,device_config,success,0,28.122.124.13,33.55885,72.52991,4.42,33.54506,72.57466,laptop,linux,34.76,29.16,56.24,80.19,1234.31,0.0,0,64.55,24.1,Normal agricultural operation
EVT_00021,2026-01-19 12:27,gateway,FARMER_120,config_change,device_config,success,1,123.102.147.83,12.58014,73.42971,4.71,12.56555,73.38892,phone,android,21.67,26.84,93.58,68.0,1909.89,33.43,0,92.15,18.05,Normal agricultural operation
EVT_00022,2026-02-08 01:21,irrigation_controller,FARMER_101,update,irrigation_config,success,1,48.148.19.3,13.52286,76.03854,4.31,13.51606,76.07781,laptop,linux,68.08,17.64,69.08,50.97,1092.45,22.88,0,90.15,52.59,Normal agricultural operation
EVT_00023,2026-01-13 10:00,soil_sensor,FARMER_104,read,sensor_data,success,0,85.83.234.166,34.54374,75.10361,5.07,34.52188,75.1522,laptop,linux,22.08,23.74,76.33,100.0,2271.57,3.71,0,69.22,32.29,Normal agricultural operation
EVT_00024,2026-01-31 11:00,gateway,FARMER_024,login,auth_session,success,0,64.3.133.99,10.05347,94.23388,2.62,10.0588,94.25718,laptop,linux,41.47,19.8,53.31,79.04,1912.0,16.28,0,99.67,35.81,Normal agricultural operation
EVT_00025,2026-01-22 04:20,weather_station,FARMER_021,read,sensor_data,success,1,176.159.60.164,26.53013,74.44519,3.14,26.54338,74.47311,phone,ios,54.33,42.26,50.75,71.05,601.47,11.57,0,53.02,17.9,Normal agricultural operation
EVT_00026,2026-01-10 22:33,gateway,FARMER_032,transmit,sensor_data,failure,13,135.228.185.20,10.63731,82.80089,1008.69,33.81833,85.96206,PC,windows,0.0,65.0,95.0,41.7,1994.89,69.8,0,29.49,67.59,Unusual geographic access; Multiple failed login attempts; Sensor spoofing or instability
EVT_00027,2026-01-03 01:28,irrigation_controller,FARMER_045,update,irrigation_config,success,0,139.30.35.253,24.07045,76.59542,5.29,24.11728,76.60453,phone,ios,22.7,43.45,31.26,89.93,1109.08,17.85,0,100.0,28.47,Normal agricultural operation
EVT_00028,2026-01-07 01:15,gateway,FARMER_111,config_change,device_config,success,1,31.91.201.136,20.30649,90.33473,3.85,20.2837,90.36246,phone,android,36.08,39.94,60.75,77.16,629.95,9.76,0,83.95,36.33,Normal agricultural operation
EVT_00029,2026-01-21 23:07,weather_station,FARMER_020,read,sensor_data,success,1,49.57.16.208,31.36068,72.53552,2.68,31.36876,72.50891,phone,android,43.63,33.99,82.8,83.96,1240.59,11.98,0,75.04,21.19,Normal agricultural operation
EVT_00030,2026-01-11 15:57,irrigation_controller,FARMER_028,config_change,irrigation_config,success,0,36.148.119.209,10.64412,86.22319,3.1,10.63637,86.19594,laptop,windows,28.83,28.4,70.9,74.71,911.76,13.89,0,81.39,39.51,Normal agricultural operation
EVT_00031,2026-02-13 04:02,irrigation_controller,FARMER_113,config_change,irrigation_config,success,0,161.218.253.13,31.01446,79.08409,5.17,30.9703,79.06696,PC,linux,37.59,21.3,60.05,88.49,830.97,13.25,0,80.87,27.79,Normal agricultural operation
EVT_00032,2026-01-07 13:40,gateway,FARMER_060,transmit,sensor_data,success,0,144.211.213.143,17.13698,95.31988,2.88,17.14814,95.34438,laptop,windows,67.36,45.4,49.35,98.79,1872.9,17.89,0,87.78,31.5,Normal agricultural operation
EVT_00033,2026-01-31 15:49,irrigation_controller,FARMER_078,config_change,irrigation_config,success,0,19.96.111.123,35.79613,70.78807,4.38,35.75918,70.80477,phone,android,72.7,21.14,100.0,100.0,819.7,15.98,0,67.42,27.78,Normal agricultural operation
